Columns,Rows,Num_Added_Chords,Treewidth
2,2,1,2
3,2,2,2
4,2,3,2
5,2,4,2
6,2,5,2
7,2,6,2
8,2,7,2
9,2,8,2
10,2,9,2
11,2,10,2
12,2,11,2
