Columns,Rows,Num_Added_Chords,Treewidth
3,3,5,3
4,3,9,3
5,3,13,3
6,3,17,3
7,3,21,3
8,3,25,3
9,3,29,3
10,3,33,3
11,3,37,3
12,3,41,3
13,3,45,3
