Graph Size ,Order ,Vertex ,Madj                                   ,Edges in Madj                                                                      ,Size of Madj ,Vertex Connectivity
5x7        ,   11 , 10502 ,"{'10503', '10301', '10402'}"          ,"{('10503', '10301'), ('10503', '10402')}"                                         ,           3 ,                  3
5x7        ,   12 , 10506 ,"{'10307', '10505', '10406'}"          ,"{('10505', '10406'), ('10307', '10505')}"                                         ,           3 ,                  3
5x7        ,   13 , 10505 ,"{'10307', '10405', '10406', '10504'}" ,"{('10405', '10504'), ('10406', '10504'), ('10307', '10504'), ('10307', '10405')}" ,           4 ,                  3
5x7        ,   14 , 10503 ,"{'10403', '10301', '10402', '10504'}" ,"{('10402', '10504'), ('10301', '10504'), ('10403', '10504'), ('10403', '10301')}" ,           4 ,                  3
5x7        ,   15 , 10406 ,"{'10306', '10504', '10405', '10307'}" ,"{('10306', '10405'), ('10306', '10504')}"                                         ,           4 ,                  3
5x7        ,   16 , 10404 ,"{'10304', '10403', '10405', '10504'}" ,"{('10304', '10504'), ('10304', '10405'), ('10304', '10403'), ('10403', '10405')}" ,           4 ,                  3
5x7        ,   17 , 10402 ,"{'10403', '10301', '10302', '10504'}" ,"{('10302', '10504'), ('10403', '10302')}"                                         ,           4 ,                  3
5x7        ,   18 , 10305 ,"{'10304', '10205', '10405', '10306'}" ,"{('10205', '10306'), ('10205', '10405'), ('10304', '10306'), ('10304', '10205')}" ,           4 ,                  3
5x7        ,   19 , 10303 ,"{'10203', '10304', '10403', '10302'}" ,"{('10304', '10302'), ('10203', '10302'), ('10203', '10403'), ('10203', '10304')}" ,           4 ,                  3
5x7        ,   20 , 10206 ,"{'10306', '10205', '10105', '10307'}" ,"{('10205', '10307'), ('10306', '10105')}"                                         ,           4 ,                  3
5x7        ,   21 , 10204 ,"{'10203', '10304', '10104', '10205'}" ,"{('10304', '10104'), ('10104', '10205'), ('10203', '10104'), ('10203', '10205')}" ,           4 ,                  4
5x7        ,   22 , 10105 ,"{'10307', '10205', '10104', '10306'}" ,"{('10104', '10306'), ('10307', '10104')}"                                         ,           4 ,                  4
5x8        ,    1 , 10101 ,"{'10201', '10102'}"                   ,"{('10201', '10102')}"                                                             ,           2 ,                  2
5x8        ,    2 , 10108 ,"{'10208', '10107'}"                   ,"{('10208', '10107')}"                                                             ,           2 ,                  2
5x8        ,    3 , 10501 ,"{'10401', '10502'}"                   ,"{('10401', '10502')}"                                                             ,           2 ,                  2
5x8        ,    4 , 10508 ,"{'10408', '10507'}"                   ,"{('10408', '10507')}"                                                             ,           2 ,                  3
5x8        ,    5 , 10102 ,"{'10201', '10202', '10103'}"          ,"{('10201', '10103'), ('10202', '10103')}"                                         ,           3 ,                  3
5x8        ,    6 , 10107 ,"{'10208', '10207', '10106'}"          ,"{('10207', '10106'), ('10208', '10106')}"                                         ,           3 ,                  3
5x8        ,    7 , 10201 ,"{'10202', '10103', '10301'}"          ,"{('10202', '10301'), ('10103', '10301')}"                                         ,           3 ,                  3
5x8        ,    8 , 10208 ,"{'10308', '10207', '10106'}"          ,"{('10308', '10106'), ('10308', '10207')}"                                         ,           3 ,                  3
5x8        ,    9 , 10401 ,"{'10502', '10301', '10402'}"          ,"{('10502', '10301'), ('10301', '10402')}"                                         ,           3 ,                  3
5x8        ,   10 , 10408 ,"{'10308', '10507', '10407'}"          ,"{('10308', '10407'), ('10308', '10507')}"                                         ,           3 ,                  3
5x8        ,   11 , 10502 ,"{'10503', '10301', '10402'}"          ,"{('10503', '10301'), ('10503', '10402')}"                                         ,           3 ,                  3
5x8        ,   12 , 10507 ,"{'10308', '10407', '10506'}"          ,"{('10407', '10506'), ('10308', '10506')}"                                         ,           3 ,                  3
5x8        ,   13 , 10505 ,"{'10506', '10405', '10504'}"          ,"{('10504', '10506'), ('10504', '10405'), ('10405', '10506')}"                     ,           3 ,                  3
5x8        ,   14 , 10105 ,"{'10205', '10104', '10106'}"          ,"{('10104', '10106'), ('10205', '10106'), ('10205', '10104')}"                     ,           3 ,                  4
5x8        ,   15 , 10503 ,"{'10403', '10301', '10402', '10504'}" ,"{('10402', '10504'), ('10301', '10504'), ('10403', '10504'), ('10403', '10301')}" ,           4 ,                  4
5x8        ,   16 , 10406 ,"{'10306', '10405', '10407', '10506'}" ,"{('10306', '10405'), ('10306', '10407'), ('10405', '10407'), ('10306', '10506')}" ,           4 ,                  4
5x8        ,   17 , 10404 ,"{'10304', '10403', '10405', '10504'}" ,"{('10304', '10504'), ('10304', '10405'), ('10304', '10403'), ('10403', '10405')}" ,           4 ,                  4
5x8        ,   18 , 10402 ,"{'10403', '10301', '10302', '10504'}" ,"{('10302', '10504'), ('10403', '10302')}"                                         ,           4 ,                  4
5x8        ,   19 , 10307 ,"{'10306', '10308', '10207', '10407'}" ,"{('10306', '10207'), ('10207', '10407'), ('10306', '10308')}"                     ,           4 ,                  4
5x8        ,   20 , 10305 ,"{'10304', '10205', '10405', '10306'}" ,"{('10205', '10306'), ('10205', '10405'), ('10304', '10306'), ('10304', '10205')}" ,           4 ,                  4
5x8        ,   21 , 10303 ,"{'10203', '10304', '10403', '10302'}" ,"{('10304', '10302'), ('10203', '10302'), ('10203', '10403'), ('10203', '10304')}" ,           4 ,                  4
5x8        ,   22 , 10206 ,"{'10306', '10205', '10207', '10106'}" ,"{('10205', '10207'), ('10306', '10106')}"                                         ,           4 ,                  4
5x8        ,   23 , 10204 ,"{'10203', '10304', '10104', '10205'}" ,"{('10304', '10104'), ('10203', '10104'), ('10203', '10205')}"                     ,           4 ,                  4
